,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index,Petrol,Diesel
2004-06-01,0.14185814185814177,-0.2727272727272727,0.10901681100356585,0.1843547583457897,0.035222847252271684,-1.1293566408361877,-1.1807865505854087
2004-07-01,0.13786213786213772,-0.29090909090909095,0.09882832399388679,0.1803687095166915,0.04214625703158809,-1.1365811657756166,-1.1967977584309004
2004-08-01,0.14185814185814177,-0.29090909090909095,0.09679062659195109,0.1843547583457897,0.058070099524015394,-1.1440619931519205,-1.1914500150105063
2004-09-01,0.14385614385614395,-0.32727272727272727,0.09882832399388679,0.1843547583457897,0.07572479446127217,-1.1606896137442195,-1.2073491444010798
2004-10-01,0.14585414585414583,-0.3090909090909091,0.10290371879775848,0.18834080717488766,0.10411077455646905,-1.1090286538114988,-1.1486040228159702
2004-11-01,0.1478521478521477,-0.2727272727272727,0.10901681100356585,0.19232685600398586,0.10220683686715708,-1.0917282393224015,-1.1152206544581194
2004-12-01,0.15784215784215772,-0.21818181818181817,0.1192052980132449,0.19830592924763304,0.08991778450887049,-1.1717827035902377,-1.1964375062543768
2005-01-01,0.14585414585414583,-0.23636363636363636,0.1212429954151809,0.19232685600398586,0.10411077455646905,-1.1298732504355151,-1.1011708195737004
2005-02-01,0.1478521478521477,-0.23636363636363636,0.13143148242485997,0.19631290483308408,0.10930333189095624,-1.1333573616867916,-1.1172020414289994
2005-03-01,0.15384615384615394,-0.18181818181818182,0.1436576668364747,0.20229197807673124,0.1252271743833838,-1.0620772511563654,-1.0485499849894915
2005-04-01,0.15984015984015987,-0.2,0.13143148242485997,0.20827105132037843,0.12695802682821278,-1.0344206163272673,-1.0205944160912628
2005-05-01,0.16383616383616392,-0.2,0.13958227203260304,0.2142501245640259,0.12176546949372559,-0.9971045834084231,-0.985145601921344
2005-06-01,0.1658341658341658,-0.18181818181818182,0.13958227203260304,0.2142501245640259,0.13232366940718296,-1.0421697603171751,-1.030921645151605
2005-07-01,0.1678321678321677,-0.12727272727272732,0.1232806928171166,0.21624314897857486,0.15707485936823865,-1.0207484832101892,-1.0023416391474023
2005-08-01,0.17182817182817176,-0.10909090909090911,0.12735608762098827,0.22022919780767305,0.16936391172652523,-0.9149996996455828,-0.9039927949564687
2005-09-01,0.17182817182817176,-0.09090909090909091,0.12735608762098827,0.22421524663677128,0.17126784941583723,-0.9047075549148005,-0.9084359051335927
2005-10-01,0.1738261738261739,-0.10909090909090911,0.1232806928171166,0.22620827105132024,0.18701860666378176,-0.9079593920826585,-0.9058420894626229
2005-11-01,0.1758241758241758,-0.14545454545454542,0.13346917982679565,0.22620827105132024,0.21886629164863686,-0.9784105244188153,-0.9569498649054328
2005-12-01,0.18181818181818174,-0.1636363636363636,0.14161996943453903,0.23218734429496743,0.2401557767200346,-0.9432930858412939,-0.932933053137195
2006-01-01,0.1738261738261739,-0.14545454545454542,0.13754457463066733,0.22620827105132024,0.250713976633492,-0.9020844596624027,-0.8949864905433795
2006-02-01,0.17782217782217768,-0.14545454545454542,0.14569536423841042,0.23019431988041847,0.24725227174383377,-0.9596203520153791,-0.9379285499849885
2006-03-01,0.18181818181818174,-0.18181818181818182,0.13754457463066733,0.23418036870951667,0.250713976633492,-0.8913317714903597,-0.8858120684479125
2006-04-01,0.18781218781218767,-0.14545454545454542,0.13346917982679565,0.24414549078226205,0.250713976633492,-0.8819607136420988,-0.8714500150105063
2006-05-01,0.18981018981018985,-0.10909090909090911,0.15588385124808948,0.25211758844045823,0.23842492427520537,-0.7908331831561253,-0.8178925247673363
2006-06-01,0.1938061938061939,-0.07272727272727271,0.16607233825776854,0.25610363726955643,0.23479013414106442,-0.9052682164954657,-0.8989252476733706
2006-07-01,0.19180819180819172,-0.09090909090909091,0.16811003565970453,0.25610363726955643,0.25607961921246214,-0.7460803748423148,-0.7899729810867601
2006-08-01,0.19780219780219768,-0.07272727272727271,0.1742231278655119,0.2620827105132036,0.24898312418866272,-0.7828437556316464,-0.8150705493845682
2006-09-01,0.20179820179820174,-0.09090909090909091,0.18237391747325526,0.2640757349277528,0.22059714409346584,-0.9707454796660071,-0.9340138096667657
2006-10-01,0.2037962037962039,-0.09090909090909091,0.19052470708099833,0.2660687593423018,0.22769363911726526,-0.9501531807532899,-0.9246712698889212
2006-11-01,0.20779220779220767,-0.0363636363636364,0.2047885888945491,0.27005480817140004,0.24361748160969254,-0.9940289541659169,-0.9502731912338627
2006-12-01,0.21578421578421578,-0.0181818181818182,0.20682628629648478,0.27802690582959616,0.250713976633492,-0.900782923850144,-0.877454217952566
2007-01-01,0.2037962037962039,-0.054545454545454515,0.19460010188487004,0.26806178375685075,0.2313284292514062,-0.9221841773292496,-0.9079075352746913
2007-02-01,0.20979020979020982,-0.054545454545454515,0.20886398369842077,0.27404085700049824,0.23479013414106442,-0.8964978674836319,-0.9086760732512749
2007-03-01,0.21578421578421578,-0.0181818181818182,0.21701477330616384,0.28201295465869436,0.24725227174383377,-0.7935964438036893,-0.7962773941759224
2007-04-01,0.2217782217782217,-0.054545454545454515,0.22109016811003554,0.2879920279023416,0.23652098658589338,-0.8101159368054313,-0.8438907235064536
2007-05-01,0.22577422577422576,-0.09090909090909091,0.2272032603158429,0.2919780767314398,0.23842492427520537,-0.8127590556857104,-0.8406684679275486
2007-06-01,0.22977022977022982,-0.09090909090909091,0.23739174732552198,0.29596412556053797,0.250713976633492,-0.7453194769828406,-0.8151706194336027
2007-07-01,0.2237762237762239,-0.18181818181818182,0.21090168110035648,0.2879920279023416,0.25607961921246214,-0.7609178831020613,-0.8237166016211338
2007-08-01,0.2317682317682317,-0.18181818181818182,0.21905247070809983,0.293971101145989,0.25244482907832094,-0.7884423619871459,-0.8201981386970869
2007-09-01,0.2317682317682317,-0.18181818181818182,0.23942944472745795,0.29596412556053797,0.27373431414971866,-0.7732724615045764,-0.8217352146502543
2007-10-01,0.23576423576423575,-0.12727272727272732,0.26388181355068774,0.30194319880418513,0.2948507139766334,-0.7003063615065788,-0.7191033723606516
2007-11-01,0.23776223776223765,-0.14545454545454542,0.2781456953642382,0.30792227204783235,0.33379489398528767,-0.6254980877435384,-0.6408085659961965
2007-12-01,0.24575424575424576,-0.12727272727272732,0.292409577177789,0.31589436970602874,0.3514495889225442,-0.6947397929556888,-0.6741919343540469
2008-01-01,0.23376623376623387,-0.10909090909090911,0.2883341823739173,0.30792227204783235,0.3779316313284291,-0.5370096714122674,-0.42127889522665785
